,week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,cumulative_weeks_in_top_10
730,2022-05-22,Films (Non-English),1,Toscana,,14830000,1
731,2022-05-22,Films (Non-English),2,The Perfect Family,,14400000,2
732,2022-05-22,Films (Non-English),3,The Takedown,,10820000,3
733,2022-05-22,Films (Non-English),4,Gangubai Kathiawadi,,8800000,4
734,2022-05-22,Films (Non-English),5,F*ck Love Too,,8380000,1
735,2022-05-22,Films (Non-English),6,RRR (Hindi),,7180000,1
736,2022-05-22,Films (Non-English),7,Jersey,,4470000,1
737,2022-05-22,Films (Non-English),8,Cyber Hell: Exposing an Internet Horror,,3430000,1
738,2022-05-22,Films (Non-English),9,Honeymoon with My Mother,,3000000,4
739,2022-05-22,Films (Non-English),10,Raw (Hindi),,2580000,2
760,2022-05-15,Films (English),1,Senior Year,,55940000,1
761,2022-05-15,Films (English),2,Our Father,,23870000,1
762,2022-05-15,Films (English),3,Marmaduke,,15030000,2
763,2022-05-15,Films (English),4,Along for the Ride,,13310000,2
764,2022-05-15,Films (English),5,Operation Mincemeat,,12620000,1
765,2022-05-15,Films (English),6,Sonic the Hedgehog,,12290000,3
766,2022-05-15,Films (English),7,365 Days: This Day,,10580000,3
767,2022-05-15,Films (English),8,U.S. Marshals,,5520000,2
768,2022-05-15,Films (English),9,Den of Thieves,,5420000,1
769,2022-05-15,Films (English),10,Men in Black: International,,4650000,2
770,2022-05-15,Films (Non-English),1,The Takedown,,32370000,2
771,2022-05-15,Films (Non-English),2,The Perfect Family,,21590000,1
772,2022-05-15,Films (Non-English),3,Gangubai Kathiawadi,,12190000,3
773,2022-05-15,Films (Non-English),4,Honeymoon with My Mother,,6450000,3
774,2022-05-15,Films (Non-English),5,Raw (Hindi),,4790000,1
775,2022-05-15,Films (Non-English),6,Thar,,4270000,2
776,2022-05-15,Films (Non-English),7,Beast,,4050000,1
777,2022-05-15,Films (Non-English),8,The Getaway King,,3240000,1
778,2022-05-15,Films (Non-English),9,40 Years Young,,2840000,2
779,2022-05-15,Films (Non-English),10,Radhe Shyam (Hindi),,1900000,2
800,2022-05-08,Films (English),1,365 Days: This Day,,27530000,2
801,2022-05-08,Films (English),2,Sonic the Hedgehog,,17150000,2
802,2022-05-08,Films (English),3,Silverton Siege,,11150000,2
803,2022-05-08,Films (English),4,Along for the Ride,,10840000,1
804,2022-05-08,Films (English),5,The Gentlemen,,8610000,1
805,2022-05-08,Films (English),6,U.S. Marshals,,8080000,1
806,2022-05-08,Films (English),7,The Mystery of Marilyn Monroe: The Unheard Tapes,,7590000,2
807,2022-05-08,Films (English),8,Men in Black: International,,7370000,1
808,2022-05-08,Films (English),9,Marmaduke,,7010000,1
809,2022-05-08,Films (English),10,365 Days,,6290000,2
810,2022-05-08,Films (Non-English),1,The Takedown,,27090000,1
811,2022-05-08,Films (Non-English),2,Honeymoon with My Mother,,23240000,2
812,2022-05-08,Films (Non-English),3,Gangubai Kathiawadi,,8320000,2
813,2022-05-08,Films (Non-English),4,40 Years Young,,6960000,1
814,2022-05-08,Films (Non-English),5,Rumspringa - An Amish in Berlin,,6170000,1
815,2022-05-08,Films (Non-English),6,Bubble,,4380000,2
816,2022-05-08,Films (Non-English),7,Radhe Shyam (Hindi),,3650000,1
817,2022-05-08,Films (Non-English),8,I Swear It Wasn't Me,,3650000,2
