,week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,cumulative_weeks_in_top_10
2448,2021-07-25,Films (English),9,Fear Street Part 2: 1978,,9100000,3
2449,2021-07-25,Films (English),10,The Twilight Saga: Breaking Dawn: Part 1,,8250000,1
2450,2021-07-25,Films (Non-English),1,Blood Red Sky,,35930000,1
2451,2021-07-25,Films (Non-English),2,Kingdom: Ashin of the North,,16380000,1
2452,2021-07-25,Films (Non-English),3,Chernobyl 1986,,8250000,1
2453,2021-07-25,Films (Non-English),4,A Perfect Fit,,8000000,2
2454,2021-07-25,Films (Non-English),5,Major Grom: Plague Doctor,,7190000,3
2455,2021-07-25,Films (Non-English),6,The Guide to the Perfect Family,,4580000,2
2456,2021-07-25,Films (Non-English),7,A Classic Horror Story,,4060000,2
2457,2021-07-25,Films (Non-English),8,Deep,,3200000,1
2458,2021-07-25,Films (Non-English),9,Tô Ryca,,2930000,2
2459,2021-07-25,Films (Non-English),10,Haseen Dillruba,,2620000,4
2480,2021-07-18,Films (English),1,Fear Street Part 3: 1666,,20080000,1
2481,2021-07-18,Films (English),2,Fear Street Part 2: 1978,,16820000,2
2482,2021-07-18,Films (English),3,Fear Street Part 1: 1994,,14370000,3
2483,2021-07-18,Films (English),4,Gunpowder Milkshake,,11770000,1
2484,2021-07-18,Films (English),5,The Water Man,,11630000,1
2485,2021-07-18,Films (English),6,This Little Love of Mine,,8810000,2
2486,2021-07-18,Films (English),7,Wish Dragon,,8550000,3
2487,2021-07-18,Films (English),8,Fatherhood,,7790000,3
2488,2021-07-18,Films (English),9,Twilight,,7640000,1
2489,2021-07-18,Films (English),10,Rust Creek,,6560000,1
2490,2021-07-18,Films (Non-English),1,Major Grom: Plague Doctor,,21050000,2
2491,2021-07-18,Films (Non-English),2,How I Became a Superhero,,9860000,2
2492,2021-07-18,Films (Non-English),3,A Classic Horror Story,,9090000,1
2493,2021-07-18,Films (Non-English),4,The Guide to the Perfect Family,,5130000,1
2494,2021-07-18,Films (Non-English),5,Haseen Dillruba,,4430000,3
2495,2021-07-18,Films (Non-English),6,A Perfect Fit,,3170000,1
2496,2021-07-18,Films (Non-English),7,Last Summer,,2420000,2
2497,2021-07-18,Films (Non-English),8,Tô Ryca,,2210000,1
2498,2021-07-18,Films (Non-English),9,The 8th Night,,1860000,3
2499,2021-07-18,Films (Non-English),10,Silver Skates,,1780000,3
2520,2021-07-11,Films (English),1,Fear Street Part 1: 1994,,19550000,2
2521,2021-07-11,Films (English),2,Fear Street Part 2: 1978,,16060000,1
2522,2021-07-11,Films (English),3,Fatherhood,,12830000,2
2523,2021-07-11,Films (English),4,Warcraft,,10990000,2
2524,2021-07-11,Films (English),5,Wish Dragon,,10590000,2
2525,2021-07-11,Films (English),6,This Little Love of Mine,,9390000,1
2526,2021-07-11,Films (English),7,Mother's Day,,9200000,1
2527,2021-07-11,Films (English),8,How to Train Your Dragon: The Hidden World,,9030000,1
2528,2021-07-11,Films (English),9,Kung Fu Panda 3,,8870000,2
2529,2021-07-11,Films (English),10,The Huntsman: Winter's War,,7460000,1
2530,2021-07-11,Films (Non-English),1,Major Grom: Plague Doctor,,26150000,1
2531,2021-07-11,Films (Non-English),2,Haseen Dillruba,,10210000,2
2532,2021-07-11,Films (Non-English),3,How I Became a Superhero,,8820000,1
2533,2021-07-11,Films (Non-English),4,The 8th Night,,5960000,2
2534,2021-07-11,Films (Non-English),5,Silver Skates,,3110000,2
2535,2021-07-11,Films (Non-English),6,Rurouni Kenshin: The Final,,2570000,2
2536,2021-07-11,Films (Non-English),7,Dynasty Warriors,,2420000,2
2537,2021-07-11,Films (Non-English),8,Xtreme,,1710000,2
2538,2021-07-11,Films (Non-English),9,O Candidato Honesto,,1280000,1
2539,2021-07-11,Films (Non-English),10,Last Summer,,1270000,1
2560,2021-07-04,Films (English),1,Fatherhood,,25680000,1
2561,2021-07-04,Films (English),2,Fear Street Part 1: 1994,,16620000,1
2562,2021-07-04,Films (English),3,Wish Dragon,,15260000,1
2563,2021-07-04,Films (English),4,The Ice Road,,13690000,1
2564,2021-07-04,Films (English),5,Good on Paper,,10580000,1
2565,2021-07-04,Films (English),6,Kung Fu Panda 3,,7690000,1
2566,2021-07-04,Films (English),7,Warcraft,,7650000,1
2567,2021-07-04,Films (English),8,Fatale,,6460000,1
2568,2021-07-04,Films (English),9,Skylines,,6130000,1
2569,2021-07-04,Films (English),10,The Mitchells vs. The Machines,,4890000,1
2570,2021-07-04,Films (Non-English),1,Silver Skates,,7390000,1
2571,2021-07-04,Films (Non-English),2,Haseen Dillruba,,7370000,1
2572,2021-07-04,Films (Non-English),3,Rurouni Kenshin: The Final,,5340000,1
2573,2021-07-04,Films (Non-English),4,The 8th Night,,4480000,1
2574,2021-07-04,Films (Non-English),5,Dynasty Warriors,,4100000,1
2575,2021-07-04,Films (Non-English),6,Security,,2950000,1
2576,2021-07-04,Films (Non-English),7,Murder by the Coast,,2690000,1
2577,2021-07-04,Films (Non-English),8,Xtreme,,2650000,1
2578,2021-07-04,Films (Non-English),9,Rurouni Kenshin: Origins,,2150000,1
2579,2021-07-04,Films (Non-English),10,Prime Time,,2080000,1
